01-03 13:46:16: Training starting...
01-03 13:46:19: New best reward -8.1 (-100.0%) at episode 0, saving model...
01-03 13:46:21: New best reward -6.3 (-22.2%) at episode 1, saving model...
01-03 13:46:26: New best reward -5.7 (-9.5%) at episode 4, saving model...
01-03 13:46:34: New best reward -5.1 (-10.5%) at episode 9, saving model...
01-03 13:47:48: New best reward -3.3 (-35.3%) at episode 52, saving model...
01-03 13:48:27: New best reward -2.7 (-18.2%) at episode 75, saving model...
01-03 13:48:30: New best reward -1.5 (-44.4%) at episode 77, saving model...
01-03 13:48:42: New best reward -0.3 (-80.0%) at episode 84, saving model...
01-03 13:49:09: New best reward 1.5 (-600.0%) at episode 100, saving model...
01-03 13:49:23: New best reward 3.9 (+160.0%) at episode 108, saving model...
01-03 13:51:26: New best reward 8.4 (+115.4%) at episode 180, saving model...
01-03 13:52:07: New best reward 8.5 (+1.2%) at episode 203, saving model...
01-03 13:54:44: New best reward 9.4 (+10.6%) at episode 291, saving model...
01-03 13:55:14: New best reward 12.9 (+37.2%) at episode 307, saving model...
01-03 14:01:07: New best reward 17.9 (+38.8%) at episode 507, saving model...
01-03 15:52:31: New best reward 18.8 (+5.0%) at episode 5177, saving model...
