01-04 10:09:11: Training starting...
01-04 10:09:12: New best reward 3.9 (-100.0%) at episode 0, saving model...
01-04 10:09:13: New best reward 4.2 (+7.7%) at episode 3, saving model...
01-04 10:09:14: New best reward 4.3 (+2.4%) at episode 6, saving model...
01-04 10:09:14: New best reward 6.5 (+51.2%) at episode 7, saving model...
01-04 10:09:35: New best reward 8.4 (+29.2%) at episode 90, saving model...
01-04 10:09:40: New best reward 11.3 (+34.5%) at episode 104, saving model...
01-04 10:13:04: New best reward 12.9 (+14.2%) at episode 646, saving model...
01-04 10:26:40: New best reward 17.9 (+38.8%) at episode 2758, saving model...
01-04 10:46:51: New best reward 22.4 (+25.1%) at episode 5700, saving model...
01-04 10:54:56: New best reward 22.6 (+0.9%) at episode 6906, saving model...
01-04 11:06:26: New best reward 24.7 (+9.3%) at episode 8592, saving model...
01-04 11:06:31: New best reward 38.7 (+56.7%) at episode 8596, saving model...
01-04 11:30:51: New best reward 53.3 (+37.7%) at episode 12022, saving model...
01-04 11:33:30: New best reward 59.9 (+12.4%) at episode 12249, saving model...
01-04 11:33:36: New best reward 66.7 (+11.4%) at episode 12251, saving model...
01-04 11:33:46: New best reward 141.6 (+112.3%) at episode 12253, saving model...
