01-04 12:53:16: Training starting...
01-04 12:53:17: New best reward -4.5 (-100.0%) at episode 0, saving model...
01-04 12:53:17: New best reward 3.9 (-186.7%) at episode 2, saving model...
01-04 12:53:24: New best reward 4.4 (+12.8%) at episode 41, saving model...
01-04 12:54:04: New best reward 4.8 (+9.1%) at episode 169, saving model...
01-04 12:58:02: New best reward 6.3 (+31.2%) at episode 812, saving model...
01-04 13:00:32: New best reward 6.5 (+3.2%) at episode 1203, saving model...
01-04 13:11:27: New best reward 12.9 (+98.5%) at episode 2897, saving model...
01-04 13:27:18: New best reward 15.1 (+17.1%) at episode 5148, saving model...
01-04 13:54:20: New best reward 15.2 (+0.7%) at episode 8102, saving model...
01-04 13:54:46: New best reward 27.9 (+83.6%) at episode 8142, saving model...
01-04 14:02:06: New best reward 29.2 (+4.7%) at episode 9041, saving model...
01-04 14:07:14: New best reward 31.9 (+9.2%) at episode 9658, saving model...
01-04 14:07:18: New best reward 32.6 (+2.2%) at episode 9662, saving model...
01-04 14:07:47: New best reward 40.9 (+25.5%) at episode 9710, saving model...
01-04 14:11:28: New best reward 41.0 (+0.2%) at episode 10077, saving model...
01-04 14:27:24: New best reward 60.4 (+47.3%) at episode 11245, saving model...
01-04 14:36:08: New best reward 68.9 (+14.1%) at episode 11783, saving model...
01-04 14:38:26: New best reward 79.1 (+14.8%) at episode 11924, saving model...
01-04 14:53:46: New best reward 101.9 (+28.8%) at episode 12713, saving model...
01-04 15:36:37: New best reward 116.9 (+14.7%) at episode 14447, saving model...
01-04 15:52:21: New best reward 205.3 (+75.6%) at episode 14940, saving model...
01-04 16:11:52: New best reward 238.0 (+15.9%) at episode 15469, saving model...
01-04 16:34:13: New best reward 404.9 (+70.1%) at episode 15909, saving model...
01-04 17:32:07: New best reward 409.9 (+1.2%) at episode 16720, saving model...
01-04 17:39:11: New best reward 589.3 (+43.8%) at episode 16790, saving model...
01-04 18:50:10: New best reward 740.9 (+25.7%) at episode 17625, saving model...
01-04 20:44:13: New best reward 1297.3 (+75.1%) at episode 19160, saving model...
01-04 22:39:00: New best reward 1316.0 (+1.4%) at episode 20701, saving model...
01-05 00:40:16: New best reward 1375.9 (+4.6%) at episode 21502, saving model...
01-05 00:56:59: New best reward 1492.4 (+8.5%) at episode 21522, saving model...
01-05 01:59:19: New best reward 1627.9 (+9.1%) at episode 22078, saving model...
01-05 02:06:47: New best reward 1646.4 (+1.1%) at episode 22088, saving model...
01-05 02:13:11: New best reward 1882.1 (+14.3%) at episode 22096, saving model...
01-05 04:37:25: New best reward 2423.4 (+28.8%) at episode 22961, saving model...
01-05 05:29:55: New best reward 2721.0 (+12.3%) at episode 23257, saving model...
01-05 11:22:36: New best reward 3579.0 (+31.5%) at episode 24896, saving model...
